ماه,نام کالا,وزن خالص فروش
فروردین,توری کوکتل پنیر 500gr(55درصد),46
فروردین,دارفرش سوسيس سوجوک 250gr(90درصد گوشت),42
فروردین,وکیوم سوسيس کوکتل دودي (70درصد گوشت),40
فروردین,وکیوم سوسیس فرانکفورتر (مخلوط گوشت مرغ 80%)400gr,40
فروردین,توری هات داگ پنیر 500gr(55درصد),39
فروردین,دارفرش بیکن ران بوقلمون 250gr(98درصد),37
فروردین,وکيوم سوسيس سوجوک (90درصد گوشت),37
فروردین,کالباس گوشت خانواده 500gr (90درصد),37
فروردین,توری هات داگ لیونر 500gr(55درصد),36
فروردین,دارفرش بیکن مخلوط 250gr(97.5درصد),35
فروردین,توری هات داگ آلمانی 500gr(40درصد),35
فروردین,کارد برد بیکن سینه بوقلمون 250gr(98درصد),33
فروردین,وکیوم کالباس لیونر 300gr(55درصد گوشت),32
فروردین,کالباس مرغ خانواده 500gr(90درصد),32
فروردین,توری کوکتل لیونر 500gr(55درصد ),31
فروردین,دارفرش کالباس نوروزی 250gr (90درصد گوشت),28
فروردین,وکيوم سوسيس هات داگ رويال (70درصد گوشت),27
فروردین,دارفرش سالامی روسی 250gr(97درصد گوشت),26
فروردین,دارفرش بیکن مرغ 250gr(98درصد),24
فروردین,کاردبرد فیله بوقلمون فرآوری اسپایسی 250gr(98درصد),23
فروردین,کارد برد استیک ژانویه 250gr(97درصد گوشت),23
فروردین,کارد برد رولت مخلوط 250gr(98درصد گوشت قرمز و بوقلمون),22
فروردین,دارفرش بیکن گوساله 250gr(97درصد),22
فروردین,وکیوم بیکن ران بوقلمون 300gr(98درصد),22
فروردین,دارفرش کالباس پپروني 250gr (70درصد گوشت),21
فروردین,وکیوم کتف مرغ فرآوری شده 300 گرمی (98درصد),17
فروردین,وکیوم ژامبون بوقلمون 300gr(98درصد),17
فروردین,توری سوسيس فسقلي 2000gr(55درصد گوشت),14
فروردین,وکيوم کالباس خشک ممتاز گرد 300gr (70درصد گوشت),13
فروردین,وکيوم سوسيس کبابي (90درصد گوشت),12
